Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA)
0.201166821,47.67969,15372286728.0913,3.840625,-190.3125
1.203966941,47.67969,15372286728.0913,3.843125,-186.875
2.206614399,47.69141,15372286728.0913,3.8425,-186.5625
3.208828677,47.69141,15372286728.0913,3.84125,-135.625
4.211941979,47.69141,15372286728.0913,3.8425,-160.3125
5.214282890,47.70313,15372286728.0913,3.84125,-181.25
6.217392234,47.70313,15372286728.0913,3.841875,-183.75
7.219850664,47.70313,15372286728.0913,3.84125,-174.0625
8.222708388,47.71484,15372286728.0913,3.840625,-175.3125
9.225302034,47.71484,15372286728.0913,3.840625,-177.5
10.227521676,47.71484,15372286728.0913,3.8425,-204.0625
