Time (s),W,X,Y,Z
0.000000000,-0.6820791,0.001701254,0.01164342,0.728874
0.020053287,-0.6821398,0.001709636,0.01160189,0.7288179
0.040106375,-0.6821644,0.001653276,0.01165667,0.728794
0.060159526,-0.682225,0.001653113,0.01160943,0.7287381
0.080212698,-0.682322,0.001629665,0.01160805,0.7286473
0.100265911,-0.682454,0.001628769,0.01171587,0.728522
0.120319187,-0.6826,0.001655943,0.01170555,0.7283854
0.140372161,-0.6825213,0.001644499,0.01174521,0.7284584
0.160425406,-0.682407,0.001613091,0.01181774,0.7285646
0.180478609,-0.6823913,0.001600346,0.01180293,0.7285794
0.200531666,-0.6823898,0.001586912,0.01175071,0.7285817
0.220584880,-0.6823503,0.00154354,0.01174967,0.7286187
0.240638156,-0.6823145,0.001500786,0.01179778,0.7286516
0.260691015,-0.6822716,0.001478174,0.01177267,0.7286922
0.280744375,-0.6822504,0.001480149,0.01182286,0.7287113
0.300797432,-0.6822578,0.001494847,0.01183011,0.7287043
0.320850771,-0.6822516,0.001499279,0.01185122,0.7287096
0.340903619,-0.6821806,0.001514999,0.01189385,0.7287754
0.360957354,-0.6821092,0.001513967,0.01184194,0.7288431
0.381010307,-0.6820499,0.001479238,0.01189446,0.7288978
0.401063354,-0.6820299,0.001451215,0.01188558,0.7289168
0.421116578,-0.6819751,0.001464024,0.01190493,0.7289677
0.441169718,-0.681954,0.001460412,0.01192301,0.7289871
0.461222630,-0.6819664,0.001465941,0.01190643,0.7289758
0.481276072,-0.6819603,0.001483703,0.01195452,0.7289807
0.501329078,-0.681935,0.001490243,0.01192267,0.7290047
0.521382302,-0.6819347,0.00151506,0.01191626,0.7290051
0.541435713,-0.6819705,0.001519068,0.01197189,0.7289707
0.561488645,-0.6820642,0.001533534,0.01192451,0.7288837
0.581541921,-0.6822667,0.001526477,0.0119391,0.7286941
0.601594895,-0.6824908,0.001532338,0.01190098,0.7284847
0.621648234,-0.6825731,0.00153802,0.01190266,0.7284076
0.641701427,-0.6824859,0.001555954,0.01194553,0.7284886
0.661754609,-0.6823974,0.001555591,0.01192253,0.7285718
0.681807739,-0.6823778,0.001575689,0.01191031,0.7285904
0.701861057,-0.6823705,0.001585604,0.01187846,0.7285976
0.721914062,-0.6823409,0.001562626,0.01193489,0.7286245
0.741967390,-0.6823426,0.001550626,0.01197418,0.7286223
0.762020426,-0.6823558,0.001551499,0.01197661,0.7286099
0.782073400,-0.6822668,0.001519667,0.01198769,0.7286932
0.802126645,-0.6821828,0.001549557,0.01201505,0.7287712
0.822180015,-0.6821914,0.001564415,0.01200882,0.7287632
0.842233020,-0.6822566,0.00159621,0.01204056,0.7287016
0.862286285,-0.6822795,0.001583096,0.01205355,0.7286801
0.882339436,-0.6822158,0.001578858,0.0120414,0.72874
0.902392587,-0.6821122,0.001584129,0.01206881,0.7288364
0.922445811,-0.6820499,0.00155871,0.01202357,0.7288955
0.942498973,-0.681993,0.001511586,0.0121058,0.7289475
0.962552155,-0.6819579,0.001493636,0.01215125,0.7289796
0.982605337,-0.6820338,0.001500383,0.01213089,0.728909
1.002658353,-0.6820817,0.001502144,0.01215916,0.7288637
1.022711764,-0.6821014,0.001516123,0.01217398,0.7288449
1.042764717,-0.6820745,0.001522285,0.01223324,0.728869
1.062817660,-0.6820785,0.00155355,0.01224047,0.7288651
1.082871009,-0.6822343,0.001550236,0.01224451,0.7287192
1.102924285,-0.6823648,0.001546843,0.01227969,0.7285965
1.122977603,-0.682418,0.00153003,0.0122724,0.7285467
1.143030473,-0.6824667,0.001507685,0.01222904,0.7285019
1.163083665,-0.6824935,0.001495568,0.01222169,0.7284769
1.183136900,-0.6823174,0.001933606,0.01264716,0.7286337
1.203190061,-0.6812688,0.001431638,0.01237138,0.72962
