Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA)
0.894681054,37.70703,15372286728.0913,3.840625,-174.6875
1.894961913,37.70703,15372286728.0913,3.839375,-175.3125
2.896034225,37.71875,15372286728.0913,3.84,-175.625
3.896897342,37.71875,15372286728.0913,3.84375,-191.25
4.897030569,37.73047,15372286728.0913,3.8425,-180.3125
5.897854167,37.73047,15372286728.0913,3.840625,-195
6.899009497,37.73047,15372286728.0913,3.841875,-170.9375
7.900164026,37.74219,15372286728.0913,3.84125,-178.4375
8.900878512,37.74219,15372286728.0913,3.84125,-199.6875
9.901787889,37.75391,15372286728.0913,3.843125,-186.25
