Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.011611143,0.1132122,-0.3092916,0.08273234,0.02100388,-0.01551031,0.9802497,-0.3293939,-19.86441,-42.06581,1027.195
0.034081048,0.05239271,0.1185618,0.08273234,0.01372239,0.01539126,1.003106,-0.3293939,-19.86441,-42.06581,1027.195
0.054054263,-0.06924627,0.2408056,-0.03894361,0.01363726,0.007683371,1.003103,0.7237587,-19.49664,-41.98954,1027.195
0.074027228,-0.1908853,0.3630495,0.08273234,0.0135332,2.175616E-05,0.995442,0.7237587,-19.49664,-41.98954,1027.195
0.094000349,-0.1300658,0.05743987,0.02189437,0.02133499,0.007428261,1.010893,-0.6804061,-19.86925,-42.06937,1027.195
0.113973502,-0.3125242,0.1185618,-0.03894361,0.02117414,-9.453902E-05,0.9802546,-0.6804061,-19.86925,-42.06937,1027.195
0.133946759,0.2956707,0.1185618,0.08273234,0.01361833,0.007729643,0.9954444,-0.6804061,-19.86925,-42.06937,1027.195
0.153920036,0.2348512,-0.003682045,-0.09978159,0.0135332,2.175616E-05,0.995442,0.01986551,-19.50584,-41.56712,1027.193
0.173893262,0.05239271,-0.003682045,-0.09978159,0.01361833,0.007729643,0.9954444,0.01986551,-19.50584,-41.56712,1027.193
0.193866144,-0.06924627,0.3019276,0.08273234,0.005977388,0.007845938,1.010632,0.02096701,-20.21268,-42.00512,1027.195
0.213839255,0.05239271,0.4852933,-0.09978159,0.02123092,-0.0002333545,1.003232,0.02096701,-20.21268,-42.00512,1027.195
0.233812553,-0.008426782,0.3019276,0.02189437,0.01348592,-0.007778674,1.010758,0.02096701,-20.21268,-42.00512,1027.195
0.253785789,-0.008426782,0.05743987,-0.1606196,0.01344807,-0.007686131,0.9954395,0.3723631,-19.85465,-41.99733,1027.195
0.273758764,-0.06924627,0.3630495,0.02189437,0.02133499,0.007428261,1.010893,0.3723631,-19.85465,-41.99733,1027.195
0.293732125,-0.1300658,0.05743987,-0.09978159,0.02907999,0.01497358,1.003367,-0.3271413,-19.51171,-42.49112,1027.195
0.313705288,-0.1300658,0.3019276,-0.03894361,0.01361833,0.007729643,0.9954444,-0.3271413,-19.51171,-42.49112,1027.197
0.333678358,0.1740317,0.3019276,0.02189437,0.005958459,0.00789221,1.002973,-0.3271413,-19.51171,-42.49112,1027.197
0.353651510,0.1740317,0.1796837,-0.1606196,0.01349534,0.0001142998,0.9801238,0.02387047,-19.50686,-42.48756,1027.197
0.373624736,-0.1300658,0.1185618,-0.03894361,0.01355213,-2.451567E-05,1.003101,0.02387047,-19.50686,-42.48756,1027.197
0.393597805,0.05239271,0.3630495,-0.09978159,0.02131606,0.007474532,1.003234,0.02161789,-19.85957,-42.06225,1027.197
0.413571072,-0.06924627,-0.003682045,-0.03894361,0.005873327,0.0001843232,1.00297,0.02161789,-19.85957,-42.06225,1027.195
0.433544173,-0.1908853,0.05743987,0.02189437,0.01355213,-2.451567E-05,1.003101,0.02161789,-19.85957,-42.06225,1027.195
0.453517492,0.1132122,-0.4315355,-0.03894361,0.02110794,-0.007848698,0.9879112,-0.3275251,-19.86488,-42.49535,1027.199
0.473490541,-0.008426782,-0.1259259,0.08273234,0.02148633,0.02289031,1.003239,-0.3275251,-19.86488,-42.49535,1027.199
0.493463683,0.3564901,-0.003682045,0.02189437,0.01365619,0.007637099,1.010762,-0.3293939,-19.86441,-42.06581,1027.199
0.513436992,-0.4341632,0.3019276,0.02189437,0.02887187,-0.0003496497,0.9880444,-0.3293939,-19.86441,-42.06581,1027.199
0.535906803,-0.06924627,0.1796837,0.02189437,0.01363726,0.007683371,1.003103,-0.3293939,-19.86441,-42.06581,1027.199
0.555879893,-0.008426782,0.3630495,0.02189437,0.01342914,-0.007639859,0.9877805,0.02348661,-19.86004,-42.49179,1027.199
0.575853254,0.1740317,0.1796837,0.08273234,0.01338186,-0.01544029,1.003096,0.02348661,-19.86004,-42.49179,1027.195
0.595826219,-0.06924627,-0.06480397,-0.09978159,0.005892254,0.0001380518,1.010629,-0.9725323,-19.52011,-42.0681,1027.195
0.615799403,0.3564901,-0.003682045,-0.09978159,0.0135332,2.175616E-05,0.995442,-0.9725323,-19.52011,-42.0681,1027.195
0.635772472,0.05239271,0.1185618,0.08273234,0.02142012,0.01513615,1.010896,-0.9725323,-19.52011,-42.0681,1027.195
