Time (s),W,X,Y,Z
0.003536450,-0.6894683,0.008783394,-0.0008640323,0.7219303
0.023547665,-0.6894197,0.008771322,-0.0008831096,0.7219768
0.043559046,-0.6893443,0.008765713,-0.0008613222,0.7220489
0.063570645,-0.6892679,0.008772233,-0.0008848816,0.7221217
0.083581964,-0.689193,0.008800942,-0.0008737051,0.7221928
0.103593282,-0.6891083,0.008800428,-0.0008699596,0.7222736
0.123604840,-0.6890099,0.008796309,-0.0008906438,0.7223676
0.143615961,-0.6889148,0.008763083,-0.0008339187,0.7224587
0.163627582,-0.6888397,0.008745045,-0.0008282034,0.7225304
0.183639223,-0.6888237,0.008758657,-0.0008114268,0.7225457
0.203650354,-0.68885,0.008752946,-0.0008106242,0.7225206
0.223661548,-0.6888562,0.008732089,-0.0007961279,0.7225151
0.243673147,-0.688897,0.008717149,-0.0008314707,0.7224763
0.263684487,-0.688902,0.008702318,-0.0007683225,0.7224717
0.283696160,-0.6888939,0.008715792,-0.0007697847,0.7224793
0.303707249,-0.6888991,0.008690137,-0.0008279046,0.7224747
0.323718599,-0.6888978,0.00870734,-0.0008414276,0.7224756
0.343729928,-0.6889395,0.008722906,-0.0008545405,0.7224357
0.363741673,-0.6889502,0.008720671,-0.0008293916,0.7224255
0.383753033,-0.6889704,0.008717898,-0.0008202248,0.7224063
0.403764258,-0.6890124,0.008708401,-0.000821854,0.7223662
0.423775462,-0.6890183,0.008711383,-0.0008280057,0.7223606
0.443786916,-0.6889799,0.008691394,-0.0008338794,0.7223974
0.463798526,-0.6889385,0.008678413,-0.000820516,0.7224371
0.483809605,-0.688906,0.008700864,-0.0007912865,0.7224679
0.503821309,-0.6888652,0.008696847,-0.0007858099,0.7225068
0.523832711,-0.6888359,0.008685336,-0.0007698089,0.722535
0.543844175,-0.6887941,0.008673192,-0.0007757804,0.722575
0.563855421,-0.6887584,0.008679975,-0.0007822575,0.7226087
0.583866833,-0.6887359,0.008660908,-0.0007921616,0.7226305
0.603878245,-0.6887,0.008663789,-0.000801942,0.7226648
0.623889554,-0.688711,0.00870471,-0.0008563516,0.7226537
0.643901039,-0.6888257,0.008721638,-0.000899651,0.7225442
0.663912451,-0.6889023,0.008698848,-0.0008950958,0.7224715
0.683923676,-0.6888772,0.008720713,-0.0008422392,0.722495
0.703935390,-0.6888518,0.008727512,-0.0008555129,0.7225192
0.723946729,-0.6888298,0.008736451,-0.0008376697,0.7225401
0.743957829,-0.6887789,0.008711354,-0.0008471026,0.7225888
0.763969523,-0.688764,0.008756155,-0.0008798742,0.7226026
0.783980914,-0.6888372,0.008707529,-0.0008156107,0.7225333
0.803992327,-0.688938,0.008700302,-0.0008154293,0.7224374
