Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.003536450,0.1956229,0.04275978,0.05161398,0.01261884,0.01436351,1.003054,-2.029577,-22.66208,-43.08253,0.01539062
0.023547665,0.2562624,0.2864054,0.05161398,0.02034656,0.006151704,1.03379,-2.029577,-22.66208,-43.08253,0.01539062
0.043559046,-0.1075744,0.4082282,0.1126234,0.02030849,0.01426167,0.9955601,-2.393191,-22.65746,-43.58022,0.01539062
0.063570645,0.01370452,-0.01815162,-0.07040489,0.02031674,-0.001146456,1.003102,-2.393191,-22.65746,-43.58022,0.01539062
0.083581964,0.01370452,0.04275978,-0.009395452,0.02031638,0.006512509,1.00316,-2.390999,-23.03088,-43.08904,0.01539062
0.103593282,0.01370452,-0.01815162,0.1126234,0.02030884,0.00660271,0.9955021,-2.390999,-23.03088,-43.08904,0.01539062
0.123604840,0.07434399,0.4691395,0.05161398,0.01263462,-0.001134826,1.018252,-2.390999,-23.03088,-43.08904,0.01539062
0.143615961,-0.04693495,0.5300509,-0.2534332,0.0126041,0.006884945,0.9876803,-2.393375,-22.66421,-43.08414,0.01539062
0.163627582,0.01370452,0.2864054,-0.009395452,0.02031638,0.006512509,1.00316,-2.393375,-22.66421,-43.08414,0.01539062
0.183639223,0.2562624,-0.01815162,-0.1314143,0.02031638,0.006512509,1.00316,-1.665779,-22.65995,-43.08093,0.01539062
0.203650354,0.1349835,0.04275978,0.1126234,0.01261165,0.006794743,0.9953379,-1.665779,-22.65995,-43.08093,0.01539062
0.223661548,0.01370452,-0.01815162,-0.009395452,0.02030884,0.00660271,0.9955021,-1.665779,-22.65995,-43.08093,0.01539062
0.243673147,0.01370452,0.4082282,-0.07040489,0.02029376,0.006783113,0.9801869,-1.66594,-22.66585,-42.64685,0.01539062
0.263684487,0.1956229,0.1036712,0.1736328,-0.002775206,0.007088608,1.002667,-1.66594,-22.66585,-42.64685,0.01539062
0.283696160,-0.04693495,0.5300509,0.1736328,0.02031638,0.006512509,1.00316,-2.029416,-22.65618,-43.51661,0.01539062
0.303707249,0.01370452,0.2864054,0.1126234,0.02031638,0.006512509,1.00316,-2.029416,-22.65618,-43.51661,0.01539062
0.323718599,0.2562624,0.3473167,0.05161398,0.02032428,-0.001236657,1.010759,-1.665779,-22.65995,-43.08093,0.01539062
0.343729928,0.3169019,0.2864054,-0.07040489,0.02031638,0.006512509,1.00316,-1.665779,-22.65995,-43.08093,0.01539062
0.363741673,0.1349835,0.1036712,0.05161398,0.01261919,0.006704542,1.002995,-1.665779,-22.65995,-43.08093,0.01539062
0.383753033,-0.04693495,0.3473167,-0.009395452,0.01261165,0.006794743,0.9953379,-1.663242,-23.02072,-43.51992,0.01539062
0.403764258,0.3775413,0.225494,0.05161398,0.02030884,0.00660271,0.9955021,-1.663242,-23.02072,-43.51992,0.01539062
0.423775462,0.1956229,0.04275978,0.1126234,0.02031674,-0.001146456,1.003102,-2.029577,-22.66208,-43.08253,0.01539062
0.443786916,0.1349835,0.3473167,0.05161398,0.02031674,-0.001146456,1.003102,-2.029577,-22.66208,-43.08253,0.01539062
0.463798526,0.1349835,0.1645826,0.05161398,0.02032428,-0.001236657,1.010759,-2.029577,-22.66208,-43.08253,0.01539062
0.483809605,0.3169019,0.3473167,-0.009395452,0.0203013,0.006692911,0.9878445,-2.029738,-22.66798,-42.64846,0.01539062
0.503821309,0.07434399,0.1645826,-0.009395452,0.01261165,0.006794743,0.9953379,-2.029738,-22.66798,-42.64846,0.01539062
0.523832711,0.1349835,0.4082282,0.05161398,0.02031638,0.006512509,1.00316,-2.029577,-22.66208,-43.08253,0.01539062
0.543844175,0.3169019,0.3473167,0.1126234,0.01262708,-0.001044624,1.010595,-2.029577,-22.66208,-43.08253,0.01539062
0.563855421,0.1349835,0.04275978,0.1126234,0.01261919,0.006704542,1.002995,-2.029577,-22.66208,-43.08253,0.01539062
0.583866833,0.01370452,0.4082282,-0.1314143,0.01261165,0.006794743,0.9953379,-2.029577,-22.66208,-43.08253,0.01539062
0.603878245,0.07434399,-0.2008858,-0.009395452,0.01262638,0.01427331,1.010711,-2.029577,-22.66208,-43.08253,0.01539062
0.623889554,0.07434399,-0.07906301,0.05161398,0.02033112,0.01399107,1.018533,-1.301981,-22.65782,-43.07933,0.01539062
0.643901039,0.01370452,0.04275978,0.05161398,0.02031674,-0.001146456,1.003102,-1.301981,-22.65782,-43.07933,0.01539062
0.663912451,0.1349835,0.1645826,-0.009395452,0.01261919,0.006704542,1.002995,-1.301981,-22.65782,-43.07933,0.01539062
0.683923676,0.4988203,0.225494,0.05161398,0.004906905,0.007076978,0.9875161,-2.032114,-22.30131,-42.64355,0.01539062
0.703935390,0.01370452,0.1645826,0.1126234,0.02031638,0.006512509,1.00316,-2.032114,-22.30131,-42.64355,0.01539062
0.723946729,0.1349835,0.4082282,0.05161398,0.004936725,0.01437514,1.018204,-2.027201,-23.02875,-43.08744,0.01539062
0.743957829,0.1349835,0.04275978,0.05161398,0.01261884,0.01436351,1.003054,-2.027201,-23.02875,-43.08744,0.01539062
0.763969523,0.1349835,0.04275978,-0.009395452,0.01262673,0.006614341,1.010653,-2.027201,-23.02875,-43.08744,0.01539062
0.783980914,-0.04693495,1.078254,-0.009395452,0.01260445,-0.0007740203,0.9876223,-1.299605,-23.02449,-43.08424,0.01539062
0.803992327,0.2562624,0.225494,-0.009395452,0.02031603,0.01417147,1.003218,-1.299605,-23.02449,-43.08424,0.01539062
0.824003624,0.01370452,0.225494,0.05161398,0.02033901,0.006241905,1.026132,-2.029577,-22.66208,-43.08253,0.01539062
0.844015088,0.1956229,0.1645826,-0.009395452,0.01261884,0.01436351,1.003054,-2.029577,-22.66208,-43.08253,0.01539062
0.864026459,-0.04693495,-0.01815162,-0.009395452,0.02032358,0.01408127,1.010875,-2.029577,-22.66208,-43.08253,0.01539062
0.884037944,0.07434399,-0.1399744,-0.07040489,0.01261884,0.01436351,1.003054,-2.029416,-22.65618,-43.51661,0.01539062
0.904049200,0.3169019,-0.07906301,0.05161398,0.02032393,0.006422308,1.010817,-2.029416,-22.65618,-43.51661,0.01539062
0.924060800,0.07434399,0.3473167,-0.07040489,0.02030884,0.00660271,0.9955021,-2.754797,-23.03301,-43.09064,0.01539062
0.944071972,0.07434399,0.04275978,0.05161398,0.02032393,0.006422308,1.010817,-2.754797,-23.03301,-43.09064,0.01539062
0.964083385,0.1956229,0.225494,-0.1314143,0.02032393,0.006422308,1.010817,-2.754797,-23.03301,-43.09064,0.01539062
0.984094860,0.2562624,0.3473167,-0.009395452,0.02031638,0.006512509,1.00316,-2.029738,-22.66798,-42.64846,0.01539062
1.004106293,0.1349835,0.1036712,0.1126234,0.01262638,0.01427331,1.010711,-2.029738,-22.66798,-42.64846,0.01539062
1.024117799,0.07434399,0.3473167,-0.009395452,0.02030919,-0.001056255,0.995444,-2.027201,-23.02875,-43.08744,0.01539062
1.044129065,0.07434399,0.1645826,0.05161398,0.01262673,0.006614341,1.010653,-2.027201,-23.02875,-43.08744,0.01539062
1.064140405,0.1956229,0.04275978,-0.07040489,0.02031638,0.006512509,1.00316,-1.66594,-22.66585,-42.64685,0.01539062
1.084151754,0.07434399,0.225494,-0.07040489,0.00492199,0.006896575,1.002831,-1.66594,-22.66585,-42.64685,0.01539062
1.104163281,0.2562624,-0.07906301,0.1126234,0.01262673,0.006614341,1.010653,-1.66594,-22.66585,-42.64685,0.01539062
1.124174621,0.4988203,0.2864054,-0.1924237,0.01261884,0.01436351,1.003054,-1.663403,-23.02662,-43.08584,0.01539062
1.144186137,-0.04693495,0.1645826,0.2346423,0.02031638,0.006512509,1.00316,-1.663403,-23.02662,-43.08584,0.01539062
1.164197299,0.2562624,0.1645826,-0.009395452,0.02031638,0.006512509,1.00316,-1.665779,-22.65995,-43.08093,0.01539062
1.184208722,-0.4107718,1.687367,4.688331,-0.04894139,0.1305136,1.025583,-1.665779,-22.65995,-43.08093,0.01539062
1.204220332,-0.4107718,1.017342,2.61401,0.06645521,-0.1778234,0.949149,-1.665779,-22.65995,-43.08093,0.01539062
1.224231671,0.07434399,-1.601848,-5.134188,0.004856567,-0.04590436,0.9335071,-1.665618,-22.65405,-43.51501,0.01539062
1.244242875,0.4381808,-0.7490883,0.3566611,-0.04128191,0.1307726,0.9874596,-1.665618,-22.65405,-43.51501,0.01539062
1.264254454,-0.1682139,0.9564307,-2.205735,0.02803184,-0.0627906,1.018117,-1.665595,-22.6532,-43.57702,0.01539062
1.284265669,0.2562624,-0.2617972,0.1736328,0.03572586,0.00594804,1.018803,-1.665595,-22.6532,-43.57702,0.01539062
1.304277144,0.2562624,-0.8099998,-1.107565,-0.0720528,0.07008862,1.001654,-1.665595,-22.6532,-43.57702,0.01539062
1.324288514,-0.1075744,1.504633,0.47868,0.02800166,-0.0624298,0.9874863,-1.29995,-23.03714,-42.15407,0.01539062
